text,occurrences,category,notes
early viral bronchiolitis (if clinically symptomatic),1,,
early interstitial lung disease (unlikely given clear lung fields),1,,
diffuse alveolar hemorrhage,1,,
congestive heart failure (though typically bilateral),1,,
traumatic hemopneumothorax,1,,
"post-surgical changes (e.g., post-lobectomy or axillary lymph node dissection)",1,,
pulmonary scarring,1,,
respiratory distress syndrome (rds) or bronchiolitis,1,,
atypical infection,1,,
metastatic pulmonary disease,1,,
pulmonary contusion (if trauma history is present),1,,
no acute pulmonary finding,1,,
"granulomatous disease (e.g., disseminated tuberculosis or fungal infection)",1,,
atypical presentation of pulmonary pathology (less likely),1,,
acute respiratory distress syndrome (ards),9,,
cardiomyopathy,1,,
early infectious process (less likely given lack of opacity),1,,
solitary pulmonary metastasis,1,,
congestive heart failure,2,,
post-procedural changes following chest tube insertion,1,,
multiple pulmonary abscesses,1,,
congestive heart failure (chf),1,,
mild age-related aortic tortuosity,1,,
infectious granulomatous disease,1,,
