model,comparison,metric,both_complete,diff,lo,hi
gemma4-26b,single-zeroshot,hit1,0,-0.17777777777777778,-0.3333333333333333,-0.022222222222222223
gemma4-26b,single-zeroshot,hit3,0,-0.28888888888888886,-0.4666666666666667,-0.1111111111111111
gemma4-26b,single-zeroshot,mrr3,0,-0.2222222222222222,-0.3703703703703704,-0.07407407407407407
gemma4-26b,single-zeroshot,recall3,0,-0.1551851851851852,-0.2681574074074074,-0.04629629629629629
gemma4-26b,single-zeroshot,f1,0,-0.17761904761904762,-0.2868447971781305,-0.07750837742504417
gemma4-26b,council-single,hit1,0,-0.15555555555555556,-0.26666666666666666,-0.06666666666666667
gemma4-26b,council-single,hit3,0,-0.17777777777777778,-0.28888888888888886,-0.06666666666666667
gemma4-26b,council-single,mrr3,0,-0.16666666666666666,-0.2777777777777778,-0.06666666666666667
gemma4-26b,council-single,recall3,0,-0.10444444444444445,-0.1822222222222222,-0.03777777777777778
gemma4-26b,council-single,f1,0,-0.08419753086419753,-0.14962962962962964,-0.03111111111111111
gemma4-26b,council-zeroshot,hit1,0,-0.3333333333333333,-0.4666666666666667,-0.2
gemma4-26b,council-zeroshot,hit3,0,-0.4666666666666667,-0.6222222222222222,-0.3333333333333333
gemma4-26b,council-zeroshot,mrr3,0,-0.3888888888888889,-0.5222222222222223,-0.25925925925925924
gemma4-26b,council-zeroshot,recall3,0,-0.2596296296296296,-0.36112037037037037,-0.1688888888888889
gemma4-26b,council-zeroshot,f1,0,-0.26181657848324513,-0.36470943562610236,-0.16969973544973546
gemma4-26b,clf_all-baseline,hit1,1,0.044444444444444446,-0.1111111111111111,0.2
gemma4-26b,clf_all-baseline,hit3,1,-0.2,-0.35555555555555557,-0.044444444444444446
gemma4-26b,clf_all-baseline,mrr3,1,-0.07407407407407407,-0.2,0.059259259259259255
gemma4-26b,clf_all-baseline,recall3,1,-0.10148148148148148,-0.2274074074074074,0.03222222222222223
gemma4-26b,clf_all-baseline,f1,1,-0.0764021164021164,-0.16767328042328042,0.022433862433862427
gemma4-26b,clf_all-zeroshot,hit1,1,0.022222222222222223,-0.08888888888888889,0.13333333333333333
gemma4-26b,clf_all-zeroshot,hit3,1,0.044444444444444446,-0.1111111111111111,0.2
gemma4-26b,clf_all-zeroshot,mrr3,1,0.029629629629629624,-0.07777777777777778,0.1333333333333333
gemma4-26b,clf_all-zeroshot,recall3,1,0.04037037037037037,-0.04888888888888889,0.12703703703703703
gemma4-26b,clf_all-zeroshot,f1,1,-0.0014991181657848344,-0.08631481481481479,0.07658024691358022
gemma4-26b,single-clf_all,hit1,0,-0.2,-0.3333333333333333,-0.06666666666666667
gemma4-26b,single-clf_all,hit3,0,-0.3333333333333333,-0.4888888888888889,-0.17777777777777778
gemma4-26b,single-clf_all,mrr3,0,-0.2518518518518518,-0.3851851851851852,-0.12222222222222222
gemma4-26b,single-clf_all,recall3,0,-0.19555555555555554,-0.30370370370370364,-0.08888888888888889
gemma4-26b,single-clf_all,f1,0,-0.1761199294532628,-0.26835978835978835,-0.08888712522045858
gemma4-26b,single-baseline,hit1,0,-0.15555555555555556,-0.3111111111111111,0.0
gemma4-26b,single-baseline,hit3,0,-0.5333333333333333,-0.6888888888888889,-0.37777777777777777
gemma4-26b,single-baseline,mrr3,0,-0.3259259259259259,-0.4592592592592593,-0.1851851851851852
gemma4-26b,single-baseline,recall3,0,-0.297037037037037,-0.4111111111111111,-0.17962037037037049
gemma4-26b,single-baseline,f1,0,-0.2525220458553792,-0.33717857142857144,-0.16326014109347448
gemma4-26b,clf_pc-baseline:densenet121-res224-pc,hit1,1,0.06666666666666667,-0.1111111111111111,0.24444444444444444
gemma4-26b,clf_pc-baseline:densenet121-res224-pc,hit3,1,0.022222222222222223,-0.15555555555555556,0.2
gemma4-26b,clf_pc-baseline:densenet121-res224-pc,mrr3,1,0.04074074074074074,-0.11111111111111113,0.1962962962962963
gemma4-26b,clf_pc-baseline:densenet121-res224-pc,recall3,1,-0.0014814814814814786,-0.13521296296296295,0.13889814814814802
gemma4-26b,clf_pc-baseline:densenet121-res224-pc,f1,1,-0.03298059964726633,-0.1425952380952381,0.08398589065255731
gemma4-26b,clf_all-baseline:closed,hit1,1,0.06666666666666667,-0.044444444444444446,0.17777777777777778
gemma4-26b,clf_all-baseline:closed,hit3,1,-0.022222222222222223,-0.1111111111111111,0.06666666666666667
gemma4-26b,clf_all-baseline:closed,mrr3,1,0.025925925925925932,-0.07407407407407408,0.12962962962962965
gemma4-26b,clf_all-baseline:closed,recall3,1,-0.009259259259259257,-0.10925925925925925,0.09444444444444444
gemma4-26b,clf_all-baseline:closed,f1,1,-0.01227513227513227,-0.07566137566137565,0.05185185185185186
gemma4-26b,clf_all-zeroshot:closed,hit1,1,0.022222222222222223,-0.1111111111111111,0.15555555555555556
gemma4-26b,clf_all-zeroshot:closed,hit3,1,0.06666666666666667,-0.044444444444444446,0.17777777777777778
gemma4-26b,clf_all-zeroshot:closed,mrr3,1,0.05925925925925927,-0.037037037037037035,0.15925925925925927
gemma4-26b,clf_all-zeroshot:closed,recall3,1,0.03444444444444444,-0.06852777777777777,0.13925925925925925
gemma4-26b,clf_all-zeroshot:closed,f1,1,0.012539682539682545,-0.06529100529100529,0.09143650793650783
gemma4-26b,clf_pc-baseline:densenet121-res224-pc:closed,hit1,1,0.0,-0.13333333333333333,0.1111111111111111
gemma4-26b,clf_pc-baseline:densenet121-res224-pc:closed,hit3,1,0.0,-0.08888888888888889,0.08888888888888889
gemma4-26b,clf_pc-baseline:densenet121-res224-pc:closed,mrr3,1,-1.2335811384723962e-18,-0.08518518518518518,0.09259259259259257
gemma4-26b,clf_pc-baseline:densenet121-res224-pc:closed,recall3,1,-0.00962962962962963,-0.08595370370370368,0.07888888888888888
gemma4-26b,clf_pc-baseline:densenet121-res224-pc:closed,f1,1,-0.02677248677248677,-0.08687830687830687,0.03513227513227513
gemma4-26b,zeroshot:closed-open,hit1,1,0.022222222222222223,-0.1111111111111111,0.15555555555555556
gemma4-26b,zeroshot:closed-open,hit3,1,0.15555555555555556,0.0,0.3111111111111111
gemma4-26b,zeroshot:closed-open,mrr3,1,0.07037037037037036,-0.04074074074074075,0.18148148148148147
gemma4-26b,zeroshot:closed-open,recall3,1,0.09814814814814815,0.005555555555555556,0.2
gemma4-26b,zeroshot:closed-open,f1,1,0.05008818342151677,-0.03361816578483245,0.13682671957671955
gemma4-26b,clf_all:closed-open,hit1,1,0.022222222222222223,-0.08888888888888889,0.13333333333333333
gemma4-26b,clf_all:closed-open,hit3,1,0.17777777777777778,0.044444444444444446,0.3111111111111111
gemma4-26b,clf_all:closed-open,mrr3,1,0.1,0.007407407407407406,0.19629629629629627
gemma4-26b,clf_all:closed-open,recall3,1,0.09222222222222223,-0.011481481481481485,0.19592592592592592
gemma4-26b,clf_all:closed-open,f1,1,0.06412698412698413,-0.0165648148148148,0.14634920634920634
gemma4-26b,clf_pc:closed-open,hit1,1,-0.06666666666666667,-0.24444444444444444,0.08888888888888889
gemma4-26b,clf_pc:closed-open,hit3,1,-0.022222222222222223,-0.17777777777777778,0.13333333333333333
gemma4-26b,clf_pc:closed-open,mrr3,1,-0.04074074074074074,-0.18148148148148147,0.0962962962962963
gemma4-26b,clf_pc:closed-open,recall3,1,-0.008148148148148147,-0.11481481481481483,0.09814814814814815
gemma4-26b,clf_pc:closed-open,f1,1,0.006208112874779552,-0.07561243386243387,0.0851865079365079
qwen3.6-27b,single-zeroshot,hit1,0,-0.4222222222222222,-0.5777777777777777,-0.24444444444444444
qwen3.6-27b,single-zeroshot,hit3,0,-0.5555555555555556,-0.7111111111111111,-0.4
qwen3.6-27b,single-zeroshot,mrr3,0,-0.4777777777777778,-0.6296296296296297,-0.32222222222222224
qwen3.6-27b,single-zeroshot,recall3,0,-0.3829629629629629,-0.49962962962962965,-0.26629629629629625
qwen3.6-27b,single-zeroshot,f1,0,-0.3640211640211641,-0.4720634920634921,-0.2588359788359788
qwen3.6-27b,council-single,hit1,0,-0.06666666666666667,-0.15555555555555556,0.0
qwen3.6-27b,council-single,hit3,0,-0.08888888888888889,-0.17777777777777778,-0.022222222222222223
qwen3.6-27b,council-single,mrr3,0,-0.07407407407407407,-0.15555555555555556,-0.007407407407407407
qwen3.6-27b,council-single,recall3,0,-0.03888888888888889,-0.07777777777777778,-0.005555555555555556
qwen3.6-27b,council-single,f1,0,-0.0326984126984127,-0.06793650793650793,-0.006349206349206349
qwen3.6-27b,council-zeroshot,hit1,0,-0.4888888888888889,-0.6222222222222222,-0.3333333333333333
qwen3.6-27b,council-zeroshot,hit3,0,-0.6444444444444445,-0.7777777777777778,-0.5111111111111111
qwen3.6-27b,council-zeroshot,mrr3,0,-0.5518518518518518,-0.6814814814814815,-0.41481481481481486
qwen3.6-27b,council-zeroshot,recall3,0,-0.42185185185185187,-0.5311111111111111,-0.31148148148148147
qwen3.6-27b,council-zeroshot,f1,0,-0.39671957671957675,-0.4989444444444445,-0.29576719576719573
qwen3.6-27b,clf_all-baseline,hit1,1,0.15555555555555556,0.0,0.3111111111111111
qwen3.6-27b,clf_all-baseline,hit3,1,-0.044444444444444446,-0.2,0.1111111111111111
qwen3.6-27b,clf_all-baseline,mrr3,1,0.05925925925925928,-0.08148148148148149,0.20740740740740737
qwen3.6-27b,clf_all-baseline,recall3,1,0.040740740740740744,-0.10555555555555556,0.1851851851851852
qwen3.6-27b,clf_all-baseline,f1,1,0.0018518518518518428,-0.10630026455026455,0.10646031746031735
qwen3.6-27b,clf_all-zeroshot,hit1,1,-0.022222222222222223,-0.17777777777777778,0.1111111111111111
qwen3.6-27b,clf_all-zeroshot,hit3,1,0.022222222222222223,-0.13333333333333333,0.15555555555555556
qwen3.6-27b,clf_all-zeroshot,mrr3,1,0.0,-0.12592592592592594,0.1259259259259259
qwen3.6-27b,clf_all-zeroshot,recall3,1,0.02037037037037037,-0.09814814814814814,0.13333333333333333
qwen3.6-27b,clf_all-zeroshot,f1,1,-0.05814814814814815,-0.1465621693121693,0.027461640211640184
qwen3.6-27b,single-clf_all,hit1,0,-0.4,-0.5555555555555556,-0.24444444444444444
qwen3.6-27b,single-clf_all,hit3,0,-0.5777777777777777,-0.7333333333333333,-0.4222222222222222
qwen3.6-27b,single-clf_all,mrr3,0,-0.4777777777777778,-0.6222222222222222,-0.3259259259259259
qwen3.6-27b,single-clf_all,recall3,0,-0.4033333333333333,-0.5155648148148148,-0.2848148148148148
qwen3.6-27b,single-clf_all,f1,0,-0.3058730158730159,-0.3907407407407408,-0.2191005291005291
qwen3.6-27b,single-baseline,hit1,0,-0.24444444444444444,-0.37777777777777777,-0.1111111111111111
qwen3.6-27b,single-baseline,hit3,0,-0.6222222222222222,-0.7555555555555555,-0.4666666666666667
qwen3.6-27b,single-baseline,mrr3,0,-0.4185185185185185,-0.5370370370370371,-0.3
qwen3.6-27b,single-baseline,recall3,0,-0.3625925925925926,-0.45185185185185184,-0.2737037037037037
qwen3.6-27b,single-baseline,f1,0,-0.304021164021164,-0.37021164021164016,-0.236718253968254
qwen3.6-27b,clf_pc-baseline:densenet121-res224-pc,hit1,1,0.08888888888888889,-0.08888888888888889,0.26666666666666666
qwen3.6-27b,clf_pc-baseline:densenet121-res224-pc,hit3,1,-0.022222222222222223,-0.2222222222222222,0.17777777777777778
qwen3.6-27b,clf_pc-baseline:densenet121-res224-pc,mrr3,1,0.03703703703703704,-0.13333333333333333,0.20740740740740737
qwen3.6-27b,clf_pc-baseline:densenet121-res224-pc,recall3,1,0.00703703703703704,-0.12962962962962965,0.15148148148148147
qwen3.6-27b,clf_pc-baseline:densenet121-res224-pc,f1,1,-0.03460317460317463,-0.14222222222222222,0.07127248677248674
qwen3.6-27b,clf_all-baseline:closed,hit1,1,0.08888888888888889,0.0,0.2
qwen3.6-27b,clf_all-baseline:closed,hit3,1,0.06666666666666667,-0.044444444444444446,0.17777777777777778
qwen3.6-27b,clf_all-baseline:closed,mrr3,1,0.08518518518518518,-0.0037037037037037017,0.1851851851851852
qwen3.6-27b,clf_all-baseline:closed,recall3,1,0.07296296296296298,-0.03999999999999999,0.1822222222222222
qwen3.6-27b,clf_all-baseline:closed,f1,1,0.05042328042328042,-0.026932539682539686,0.12312301587301587
qwen3.6-27b,clf_all-zeroshot:closed,hit1,1,-0.06666666666666667,-0.2,0.06666666666666667
qwen3.6-27b,clf_all-zeroshot:closed,hit3,1,0.1111111111111111,-0.022222222222222223,0.24444444444444444
qwen3.6-27b,clf_all-zeroshot:closed,mrr3,1,0.03703703703703704,-0.06666666666666667,0.14444444444444443
qwen3.6-27b,clf_all-zeroshot:closed,recall3,1,0.024074074074074067,-0.08148148148148149,0.12333333333333332
qwen3.6-27b,clf_all-zeroshot:closed,f1,1,0.004867724867724862,-0.08339021164021167,0.09068783068783068
qwen3.6-27b,clf_pc-baseline:densenet121-res224-pc:closed,hit1,1,-0.06666666666666667,-0.2,0.06666666666666667
qwen3.6-27b,clf_pc-baseline:densenet121-res224-pc:closed,hit3,1,-0.13333333333333333,-0.28888888888888886,0.022222222222222223
qwen3.6-27b,clf_pc-baseline:densenet121-res224-pc:closed,mrr3,1,-0.09259259259259257,-0.21851851851851853,0.03703703703703704
qwen3.6-27b,clf_pc-baseline:densenet121-res224-pc:closed,recall3,1,-0.07592592592592592,-0.1711111111111111,0.027407407407407415
qwen3.6-27b,clf_pc-baseline:densenet121-res224-pc:closed,f1,1,-0.09100529100529099,-0.16899470899470898,-0.01560449735449741
qwen3.6-27b,zeroshot:closed-open,hit1,1,-0.022222222222222223,-0.17777777777777778,0.1111111111111111
qwen3.6-27b,zeroshot:closed-open,hit3,1,0.022222222222222223,-0.08888888888888889,0.13333333333333333
qwen3.6-27b,zeroshot:closed-open,mrr3,1,-0.011111111111111117,-0.12592592592592594,0.1
qwen3.6-27b,zeroshot:closed-open,recall3,1,0.02851851851851852,-0.06296296296296296,0.11925925925925925
qwen3.6-27b,zeroshot:closed-open,f1,1,-0.014444444444444428,-0.10291005291005288,0.07243518518518519
qwen3.6-27b,clf_all:closed-open,hit1,1,-0.06666666666666667,-0.2222222222222222,0.08888888888888889
qwen3.6-27b,clf_all:closed-open,hit3,1,0.1111111111111111,-0.022222222222222223,0.24444444444444444
qwen3.6-27b,clf_all:closed-open,mrr3,1,0.02592592592592592,-0.08888888888888889,0.14074074074074075
qwen3.6-27b,clf_all:closed-open,recall3,1,0.032222222222222215,-0.07407407407407408,0.1388888888888889
qwen3.6-27b,clf_all:closed-open,f1,1,0.048571428571428585,-0.03344312169312169,0.13381084656084655
qwen3.6-27b,clf_pc:closed-open,hit1,1,-0.15555555555555556,-0.28888888888888886,-0.022222222222222223
qwen3.6-27b,clf_pc:closed-open,hit3,1,-0.1111111111111111,-0.28888888888888886,0.06666666666666667
qwen3.6-27b,clf_pc:closed-open,mrr3,1,-0.12962962962962965,-0.27037037037037037,0.007407407407407412
qwen3.6-27b,clf_pc:closed-open,recall3,1,-0.08296296296296296,-0.19852777777777775,0.03444444444444444
qwen3.6-27b,clf_pc:closed-open,f1,1,-0.05640211640211639,-0.15238227513227512,0.04275264550264549
qwen3.8-27b,single-zeroshot,hit1,0,-0.4888888888888889,-0.6444444444444445,-0.3333333333333333
qwen3.8-27b,single-zeroshot,hit3,0,-0.6222222222222222,-0.7555555555555555,-0.4888888888888889
qwen3.8-27b,single-zeroshot,mrr3,0,-0.5518518518518518,-0.6851851851851852,-0.41481481481481475
qwen3.8-27b,single-zeroshot,recall3,0,-0.4214814814814815,-0.5340740740740741,-0.31074074074074076
qwen3.8-27b,single-zeroshot,f1,0,-0.3558906525573192,-0.45453306878306887,-0.26185008818342154
qwen3.8-27b,council-single,hit1,0,0.0,0.0,0.0
qwen3.8-27b,council-single,hit3,0,0.0,0.0,0.0
qwen3.8-27b,council-single,mrr3,0,0.0,0.0,0.0
qwen3.8-27b,council-single,recall3,0,0.0,0.0,0.0
qwen3.8-27b,council-single,f1,0,0.0,0.0,0.0
qwen3.8-27b,council-zeroshot,hit1,0,-0.4888888888888889,-0.6444444444444445,-0.3333333333333333
qwen3.8-27b,council-zeroshot,hit3,0,-0.6222222222222222,-0.7555555555555555,-0.4888888888888889
qwen3.8-27b,council-zeroshot,mrr3,0,-0.5518518518518518,-0.6851851851851852,-0.41481481481481475
qwen3.8-27b,council-zeroshot,recall3,0,-0.4214814814814815,-0.5340740740740741,-0.31074074074074076
qwen3.8-27b,council-zeroshot,f1,0,-0.3558906525573192,-0.45453306878306887,-0.26185008818342154
qwen3.8-27b,clf_all-baseline,hit1,1,0.37777777777777777,0.2222222222222222,0.5333333333333333
qwen3.8-27b,clf_all-baseline,hit3,1,0.13333333333333333,0.0,0.26666666666666666
qwen3.8-27b,clf_all-baseline,mrr3,1,0.26296296296296295,0.14074074074074072,0.38888888888888895
qwen3.8-27b,clf_all-baseline,recall3,1,0.19962962962962966,0.08777777777777779,0.3207407407407407
qwen3.8-27b,clf_all-baseline,f1,1,0.05689594356261021,-0.014481040564373899,0.12954188712522047
qwen3.8-27b,clf_all-zeroshot,hit1,1,0.2,0.044444444444444446,0.35555555555555557
qwen3.8-27b,clf_all-zeroshot,hit3,1,0.2222222222222222,0.1111111111111111,0.35555555555555557
qwen3.8-27b,clf_all-zeroshot,mrr3,1,0.2037037037037037,0.0925925925925926,0.32222222222222224
qwen3.8-27b,clf_all-zeroshot,recall3,1,0.1796296296296296,0.07777777777777777,0.2907407407407407
qwen3.8-27b,clf_all-zeroshot,f1,1,0.03772486772486773,-0.038624338624338624,0.11308774250440914
