condition,class,support,hits,recall
baseline:biomedclip-zeroshot,Atelectasis,9,7,0.7777777777777778
baseline:biomedclip-zeroshot,Cardiomegaly,6,1,0.16666666666666666
baseline:biomedclip-zeroshot,Effusion,15,3,0.2
baseline:biomedclip-zeroshot,Infiltration,17,1,0.058823529411764705
baseline:biomedclip-zeroshot,Mass,5,1,0.2
baseline:biomedclip-zeroshot,Nodule,7,3,0.42857142857142855
baseline:biomedclip-zeroshot,Pneumonia,5,3,0.6
baseline:biomedclip-zeroshot,Pneumothorax,7,4,0.5714285714285714
baseline:biomedclip-zeroshot,Consolidation,6,2,0.3333333333333333
baseline:biomedclip-zeroshot,Edema,5,3,0.6
baseline:biomedclip-zeroshot,Emphysema,5,3,0.6
baseline:biomedclip-zeroshot,Fibrosis,4,0,0.0
baseline:biomedclip-zeroshot,Pleural_Thickening,4,2,0.5
baseline:biomedclip-zeroshot,Hernia,4,3,0.75
baseline:biomedclip-zeroshot,No Finding,3,1,0.3333333333333333
baseline,Atelectasis,9,3,0.3333333333333333
baseline,Cardiomegaly,6,3,0.5
baseline,Effusion,15,9,0.6
baseline,Infiltration,17,12,0.7058823529411765
baseline,Mass,5,3,0.6
baseline,Nodule,7,3,0.42857142857142855
baseline,Pneumonia,5,4,0.8
baseline,Pneumothorax,7,1,0.14285714285714285
baseline,Consolidation,6,1,0.16666666666666666
baseline,Edema,5,0,0.0
baseline,Emphysema,5,0,0.0
baseline,Fibrosis,4,0,0.0
baseline,Pleural_Thickening,4,0,0.0
baseline,Hernia,4,3,0.75
baseline,No Finding,3,0,0.0
baseline:densenet121-res224-chex,Atelectasis,9,8,0.8888888888888888
baseline:densenet121-res224-chex,Cardiomegaly,6,4,0.6666666666666666
baseline:densenet121-res224-chex,Effusion,15,11,0.7333333333333333
baseline:densenet121-res224-chex,Infiltration,17,0,0.0
baseline:densenet121-res224-chex,Mass,5,0,0.0
baseline:densenet121-res224-chex,Nodule,7,0,0.0
baseline:densenet121-res224-chex,Pneumonia,5,0,0.0
baseline:densenet121-res224-chex,Pneumothorax,7,1,0.14285714285714285
baseline:densenet121-res224-chex,Consolidation,6,0,0.0
baseline:densenet121-res224-chex,Edema,5,3,0.6
baseline:densenet121-res224-chex,Emphysema,5,0,0.0
baseline:densenet121-res224-chex,Fibrosis,4,0,0.0
baseline:densenet121-res224-chex,Pleural_Thickening,4,0,0.0
baseline:densenet121-res224-chex,Hernia,4,0,0.0
baseline:densenet121-res224-chex,No Finding,3,0,0.0
baseline:densenet121-res224-mimic_ch,Atelectasis,9,7,0.7777777777777778
baseline:densenet121-res224-mimic_ch,Cardiomegaly,6,6,1.0
baseline:densenet121-res224-mimic_ch,Effusion,15,12,0.8
baseline:densenet121-res224-mimic_ch,Infiltration,17,0,0.0
baseline:densenet121-res224-mimic_ch,Mass,5,0,0.0
baseline:densenet121-res224-mimic_ch,Nodule,7,0,0.0
baseline:densenet121-res224-mimic_ch,Pneumonia,5,0,0.0
baseline:densenet121-res224-mimic_ch,Pneumothorax,7,4,0.5714285714285714
baseline:densenet121-res224-mimic_ch,Consolidation,6,1,0.16666666666666666
baseline:densenet121-res224-mimic_ch,Edema,5,4,0.8
baseline:densenet121-res224-mimic_ch,Emphysema,5,0,0.0
baseline:densenet121-res224-mimic_ch,Fibrosis,4,0,0.0
baseline:densenet121-res224-mimic_ch,Pleural_Thickening,4,0,0.0
baseline:densenet121-res224-mimic_ch,Hernia,4,0,0.0
baseline:densenet121-res224-mimic_ch,No Finding,3,0,0.0
baseline:densenet121-res224-mimic_nb,Atelectasis,9,7,0.7777777777777778
baseline:densenet121-res224-mimic_nb,Cardiomegaly,6,4,0.6666666666666666
baseline:densenet121-res224-mimic_nb,Effusion,15,10,0.6666666666666666
baseline:densenet121-res224-mimic_nb,Infiltration,17,0,0.0
baseline:densenet121-res224-mimic_nb,Mass,5,0,0.0
baseline:densenet121-res224-mimic_nb,Nodule,7,0,0.0
baseline:densenet121-res224-mimic_nb,Pneumonia,5,1,0.2
baseline:densenet121-res224-mimic_nb,Pneumothorax,7,1,0.14285714285714285
baseline:densenet121-res224-mimic_nb,Consolidation,6,0,0.0
baseline:densenet121-res224-mimic_nb,Edema,5,4,0.8
baseline:densenet121-res224-mimic_nb,Emphysema,5,0,0.0
baseline:densenet121-res224-mimic_nb,Fibrosis,4,0,0.0
baseline:densenet121-res224-mimic_nb,Pleural_Thickening,4,0,0.0
