condition,model,mode,vocab,status,finished,valid,n_cases,iou,iou_lo,iou_hi,iou_cls,iou_cls_lo,iou_cls_hi,n_boxes,n_boxes_lo,n_boxes_hi,hit0.1,hit0.1_lo,hit0.1_hi,hit0.3,hit0.3_lo,hit0.3_hi,hit0.5,hit0.5_lo,hit0.5_hi,hit0.1_cls,hit0.1_cls_lo,hit0.1_cls_hi,hit0.3_cls,hit0.3_cls_lo,hit0.3_cls_hi,hit0.5_cls,hit0.5_cls_lo,hit0.5_cls_hi
gemma4-26b:zeroshot,gemma4-26b,zeroshot,open,complete,48,48,48,0.25240309599633637,0.17776227160989433,0.3305570962881296,0.0783726218688972,0.024696545759245497,0.14393548663157169,1.7083333333333333,1.4375,1.9791666666666667,0.5833333333333334,0.4375,0.7083333333333334,0.3541666666666667,0.22916666666666666,0.4791666666666667,0.22916666666666666,0.125,0.3541666666666667,0.125,0.041666666666666664,0.22916666666666666,0.125,0.041666666666666664,0.22916666666666666,0.10416666666666667,0.020833333333333332,0.1875
gemma4-26b:single,gemma4-26b,single,open,in_progress,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma4-26b:council,gemma4-26b,council,open,in_progress,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen3.6-27b:zeroshot,qwen3.6-27b,zeroshot,open,complete,48,48,48,0.13191887760675278,0.09145089964054923,0.1760360885808962,0.03472892506737435,0.008845112537722894,0.06862119392726182,1.9375,1.6041666666666667,2.2708333333333335,0.3958333333333333,0.25,0.5416666666666666,0.14583333333333334,0.0625,0.25,0.020833333333333332,0.0,0.0625,0.08333333333333333,0.020833333333333332,0.16666666666666666,0.041666666666666664,0.0,0.10416666666666667,0.020833333333333332,0.0,0.0625
qwen3.6-27b:single,qwen3.6-27b,single,open,in_progress,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen3.6-27b:council,qwen3.6-27b,council,open,in_progress,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen3.8-27b:zeroshot,qwen3.8-27b,zeroshot,open,complete,48,48,48,0.13263982448017408,0.08393476173973104,0.18964725155585346,0.0344236364506117,0.0031263920855303987,0.07839917448712937,2.3541666666666665,2.0,2.7291666666666665,0.4375,0.2916666666666667,0.5833333333333334,0.10416666666666667,0.020833333333333332,0.1875,0.0625,0.0,0.14583333333333334,0.08333333333333333,0.020833333333333332,0.16666666666666666,0.041666666666666664,0.0,0.10416666666666667,0.020833333333333332,0.0,0.0625
qwen3.8-27b:single,qwen3.8-27b,single,open,in_progress,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen3.8-27b:council,qwen3.8-27b,council,open,in_progress,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma4-26b:zeroshot:closed,gemma4-26b,zeroshot,closed,complete,48,48,48,0.22987326255539076,0.16199754007263995,0.30091781528428707,0.10265960936662677,0.04281035099889521,0.17273183053364782,1.1041666666666667,0.9166666666666666,1.2916666666666667,0.5625,0.4166666666666667,0.7083333333333334,0.375,0.22916666666666666,0.5208333333333334,0.14583333333333334,0.0625,0.25,0.20833333333333334,0.10416666666666667,0.3333333333333333,0.14583333333333334,0.0625,0.25,0.125,0.041666666666666664,0.22916666666666666
gemma4-26b:single:closed,gemma4-26b,single,closed,in_progress,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma4-26b:council:closed,gemma4-26b,council,closed,in_progress,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen3.6-27b:zeroshot:closed,qwen3.6-27b,zeroshot,closed,complete,48,48,48,0.12562293044761455,0.07860028974703787,0.17882605359063306,0.06312046581952672,0.02345202529997252,0.11376435372639236,1.6041666666666667,1.25,1.9791666666666667,0.375,0.25,0.5208333333333334,0.125,0.041666666666666664,0.22916666666666666,0.041666666666666664,0.0,0.10416666666666667,0.16666666666666666,0.0625,0.2708333333333333,0.0625,0.0,0.14583333333333334,0.041666666666666664,0.0,0.10416666666666667
qwen3.6-27b:single:closed,qwen3.6-27b,single,closed,in_progress,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen3.6-27b:council:closed,qwen3.6-27b,council,closed,in_progress,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
