experiment,model,mode,vocab,status,n,chest_recognized
exp1,gemma4-26b,zeroshot,open,in_progress,12,1.0
exp1,gemma4-26b,single,open,in_progress,23,1.0
exp1,gemma4-26b,council,open,in_progress,0,
exp1,qwen3.6-27b,zeroshot,open,in_progress,21,1.0
exp1,qwen3.6-27b,single,open,in_progress,10,1.0
exp1,qwen3.6-27b,council,open,in_progress,0,
exp1,qwen3.8-27b,zeroshot,open,in_progress,15,1.0
exp1,qwen3.8-27b,single,open,in_progress,1,1.0
exp1,qwen3.8-27b,council,open,in_progress,0,
exp2,gemma4-26b,zeroshot,open,in_progress,0,
exp2,gemma4-26b,single,open,in_progress,0,
exp2,gemma4-26b,council,open,in_progress,0,
exp2,qwen3.6-27b,zeroshot,open,in_progress,0,
exp2,qwen3.6-27b,single,open,in_progress,0,
exp2,qwen3.6-27b,council,open,in_progress,0,
exp2,qwen3.8-27b,zeroshot,open,in_progress,0,
exp2,qwen3.8-27b,single,open,in_progress,0,
exp2,qwen3.8-27b,council,open,in_progress,0,
exp1,gemma4-26b,zeroshot,closed,not_started,0,
exp1,gemma4-26b,single,closed,not_started,0,
exp1,gemma4-26b,council,closed,not_started,0,
exp1,qwen3.6-27b,zeroshot,closed,not_started,0,
exp1,qwen3.6-27b,single,closed,not_started,0,
exp1,qwen3.6-27b,council,closed,not_started,0,
exp1,qwen3.8-27b,zeroshot,closed,not_started,0,
exp1,qwen3.8-27b,single,closed,not_started,0,
exp1,qwen3.8-27b,council,closed,not_started,0,
exp2,gemma4-26b,zeroshot,closed,not_started,0,
exp2,gemma4-26b,single,closed,not_started,0,
exp2,gemma4-26b,council,closed,not_started,0,
exp2,qwen3.6-27b,zeroshot,closed,not_started,0,
exp2,qwen3.6-27b,single,closed,not_started,0,
exp2,qwen3.6-27b,council,closed,not_started,0,
exp2,qwen3.8-27b,zeroshot,closed,not_started,0,
exp2,qwen3.8-27b,single,closed,not_started,0,
exp2,qwen3.8-27b,council,closed,not_started,0,
