condition,model,mode,vocab,classifier,status,used_classifier_share,n_valid,agree,agree_correct,disagree,model_only,clf_only,both_right,both_wrong
gemma4-26b:clf_all,gemma4-26b,clf_all,open,densenet121-res224-all,in_progress,1.0,0,0,0,0,0,0,0,0
gemma4-26b:clf_pc,gemma4-26b,clf_pc,open,densenet121-res224-pc,in_progress,1.0,0,0,0,0,0,0,0,0
gemma4-26b:single,gemma4-26b,single,open,densenet121-res224-all,in_progress,0.9565217391304348,17,8,4,9,2,0,1,6
gemma4-26b:council,gemma4-26b,council,open,densenet121-res224-all,in_progress,,0,0,0,0,0,0,0,0
qwen3.6-27b:clf_all,qwen3.6-27b,clf_all,open,densenet121-res224-all,in_progress,1.0,0,0,0,0,0,0,0,0
qwen3.6-27b:clf_pc,qwen3.6-27b,clf_pc,open,densenet121-res224-pc,in_progress,1.0,0,0,0,0,0,0,0,0
qwen3.6-27b:single,qwen3.6-27b,single,open,densenet121-res224-all,in_progress,1.0,7,1,0,6,1,0,2,3
qwen3.6-27b:council,qwen3.6-27b,council,open,densenet121-res224-all,in_progress,,0,0,0,0,0,0,0,0
qwen3.8-27b:clf_all,qwen3.8-27b,clf_all,open,densenet121-res224-all,in_progress,1.0,0,0,0,0,0,0,0,0
qwen3.8-27b:clf_pc,qwen3.8-27b,clf_pc,open,densenet121-res224-pc,in_progress,1.0,0,0,0,0,0,0,0,0
qwen3.8-27b:single,qwen3.8-27b,single,open,densenet121-res224-all,in_progress,1.0,0,0,0,0,0,0,0,0
qwen3.8-27b:council,qwen3.8-27b,council,open,densenet121-res224-all,in_progress,,0,0,0,0,0,0,0,0
gemma4-26b:clf_all:closed,gemma4-26b,clf_all,closed,densenet121-res224-all,not_started,1.0,0,0,0,0,0,0,0,0
gemma4-26b:clf_pc:closed,gemma4-26b,clf_pc,closed,densenet121-res224-pc,not_started,1.0,0,0,0,0,0,0,0,0
gemma4-26b:single:closed,gemma4-26b,single,closed,densenet121-res224-all,not_started,,0,0,0,0,0,0,0,0
gemma4-26b:council:closed,gemma4-26b,council,closed,densenet121-res224-all,not_started,,0,0,0,0,0,0,0,0
qwen3.6-27b:clf_all:closed,qwen3.6-27b,clf_all,closed,densenet121-res224-all,not_started,1.0,0,0,0,0,0,0,0,0
qwen3.6-27b:clf_pc:closed,qwen3.6-27b,clf_pc,closed,densenet121-res224-pc,not_started,1.0,0,0,0,0,0,0,0,0
qwen3.6-27b:single:closed,qwen3.6-27b,single,closed,densenet121-res224-all,not_started,,0,0,0,0,0,0,0,0
qwen3.6-27b:council:closed,qwen3.6-27b,council,closed,densenet121-res224-all,not_started,,0,0,0,0,0,0,0,0
qwen3.8-27b:clf_all:closed,qwen3.8-27b,clf_all,closed,densenet121-res224-all,not_started,1.0,0,0,0,0,0,0,0,0
qwen3.8-27b:clf_pc:closed,qwen3.8-27b,clf_pc,closed,densenet121-res224-pc,not_started,1.0,0,0,0,0,0,0,0,0
qwen3.8-27b:single:closed,qwen3.8-27b,single,closed,densenet121-res224-all,not_started,,0,0,0,0,0,0,0,0
qwen3.8-27b:council:closed,qwen3.8-27b,council,closed,densenet121-res224-all,not_started,,0,0,0,0,0,0,0,0
