experiment,model,mode,vocab,status,n,valid_json,check_passed,reproduce_ok,timed_out,median_nudges,median_log_action_ratio,median_blocked,median_path_blocked,tools_declared
exp1,gemma4-26b,single,open,in_progress,6,0.5,,,0.0,0.0,,1.0,0.0,0.0
exp1,gemma4-26b,council,open,in_progress,0,,,,,,,,,
exp1,qwen3.6-27b,single,open,in_progress,6,0.0,,,0.0,0.0,,9.0,0.0,0.0
exp1,qwen3.6-27b,council,open,in_progress,0,,,,,,,,,
exp1,qwen3.8-27b,single,open,in_progress,2,0.0,,,0.0,0.0,,7.0,0.0,0.0
exp1,qwen3.8-27b,council,open,in_progress,0,,,,,,,,,
exp2,gemma4-26b,single,open,in_progress,0,,,,,,,,,
exp2,gemma4-26b,council,open,in_progress,0,,,,,,,,,
exp2,qwen3.6-27b,single,open,in_progress,0,,,,,,,,,
exp2,qwen3.6-27b,council,open,in_progress,0,,,,,,,,,
exp2,qwen3.8-27b,single,open,in_progress,0,,,,,,,,,
exp2,qwen3.8-27b,council,open,in_progress,0,,,,,,,,,
exp1,gemma4-26b,single,closed,in_progress,0,,,,,,,,,
exp1,gemma4-26b,council,closed,in_progress,0,,,,,,,,,
exp1,qwen3.6-27b,single,closed,in_progress,0,,,,,,,,,
exp1,qwen3.6-27b,council,closed,in_progress,0,,,,,,,,,
exp1,qwen3.8-27b,single,closed,in_progress,0,,,,,,,,,
exp1,qwen3.8-27b,council,closed,in_progress,0,,,,,,,,,
exp2,gemma4-26b,single,closed,in_progress,0,,,,,,,,,
exp2,gemma4-26b,council,closed,in_progress,0,,,,,,,,,
exp2,qwen3.6-27b,single,closed,in_progress,0,,,,,,,,,
exp2,qwen3.6-27b,council,closed,in_progress,0,,,,,,,,,
exp2,qwen3.8-27b,single,closed,in_progress,0,,,,,,,,,
exp2,qwen3.8-27b,council,closed,in_progress,0,,,,,,,,,
