weights,seen_nih,class,auc_train_val,auc_test,gap,pos_train_val,pos_test
densenet121-res224-all,True,Atelectasis,0.8084595653884568,0.8328563061304178,-0.024396740741961076,188,197
densenet121-res224-all,True,Cardiomegaly,0.9046831346563505,0.9141485736110703,-0.00946543895471974,71,101
densenet121-res224-all,True,Consolidation,0.7796672023356019,0.8183541602564739,-0.038686957920871956,53,74
densenet121-res224-all,True,Edema,0.9302320995444775,0.8718860164512339,0.05834608309324363,17,37
densenet121-res224-all,True,Effusion,0.8797375235404896,0.8989731969352063,-0.019235673394716657,168,224
densenet121-res224-all,True,Pneumonia,0.7538803369619079,0.8213692985635528,-0.06748896160164486,21,38
densenet121-res224-all,True,Pneumothorax,0.793625140291807,0.8401586183893562,-0.04653347809754926,30,121
densenet121-res224-nih,True,Atelectasis,0.7615386943494447,0.8189750097618118,-0.057436315412367156,188,197
densenet121-res224-nih,True,Cardiomegaly,0.9229800104828355,0.8726422716455622,0.05033773883727333,71,101
densenet121-res224-nih,True,Consolidation,0.8132094678950772,0.8001856060982026,0.013023861796874647,53,74
densenet121-res224-nih,True,Edema,0.8522214115280708,0.8730513121817469,-0.02082990065367607,17,37
densenet121-res224-nih,True,Effusion,0.859517924401399,0.8700846010771195,-0.010566676675720532,168,224
densenet121-res224-nih,True,Pneumonia,0.6336578270113014,0.7635489593865054,-0.129891132375204,21,38
densenet121-res224-nih,True,Pneumothorax,0.7220538720538721,0.7815970549358238,-0.059543182881951706,30,121
densenet121-res224-pc,False,Atelectasis,0.7669221573196937,0.8059976571651698,-0.03907549984547609,188,197
densenet121-res224-pc,False,Cardiomegaly,0.8631893786756043,0.8578789258747833,0.005310452800820986,71,101
densenet121-res224-pc,False,Consolidation,0.721187520407706,0.828408651030759,-0.10722113062305305,53,74
densenet121-res224-pc,False,Edema,0.9221273490958569,0.8701331766549157,0.05199417244094118,17,37
densenet121-res224-pc,False,Effusion,0.83995619787463,0.8649557909055577,-0.02499959303092769,168,224
densenet121-res224-pc,False,Pneumonia,0.6964785242730862,0.8340169016233953,-0.13753837735030905,21,38
densenet121-res224-pc,False,Pneumothorax,0.7007351290684624,0.7679325871845236,-0.06719745811606126,30,121
densenet121-res224-chex,False,Atelectasis,0.735258845071275,0.658266302225693,0.07699254284558199,188,197
densenet121-res224-chex,False,Cardiomegaly,0.7315095764068879,0.641650997443958,0.08985857896292981,71,101
densenet121-res224-chex,False,Consolidation,0.7389478266993617,0.6992635308830681,0.03968429581629351,53,74
densenet121-res224-chex,False,Edema,0.931809666541776,0.827183705444575,0.10462596109720101,17,37
densenet121-res224-chex,False,Effusion,0.8042944578961528,0.7537078035644884,0.05058665433166443,168,224
densenet121-res224-chex,False,Pneumonia,0.6370306430729391,0.6629785772877282,-0.025947934214789137,21,38
densenet121-res224-chex,False,Pneumothorax,0.6796071829405163,0.509725259113763,0.16988192382675327,30,121
densenet121-res224-mimic_nb,False,Atelectasis,0.720905465936261,0.6829304959000391,0.03797497003622197,188,197
densenet121-res224-mimic_nb,False,Cardiomegaly,0.7106352694521516,0.6370457149572524,0.07358955449489923,71,101
densenet121-res224-mimic_nb,False,Consolidation,0.7025756925815188,0.7472928308403887,-0.044717138258869915,53,74
densenet121-res224-mimic_nb,False,Edema,0.8553962651101339,0.7834312573443009,0.07196500776583303,17,37
densenet121-res224-mimic_nb,False,Effusion,0.8043722255851493,0.7701578202209761,0.034214405364173195,168,224
densenet121-res224-mimic_nb,False,Pneumonia,0.5996099681900287,0.7568531695312947,-0.15724320134126601,21,38
densenet121-res224-mimic_nb,False,Pneumothorax,0.6745903479236812,0.7470289935638489,-0.07243864564016766,30,121
densenet121-res224-mimic_ch,False,Atelectasis,0.7014202051996005,0.7026874267864116,-0.0012672215868111403,188,197
densenet121-res224-mimic_ch,False,Cardiomegaly,0.6569900797753403,0.6444090254722802,0.012581054303060113,71,101
densenet121-res224-mimic_ch,False,Consolidation,0.7051110499324545,0.7216156663457435,-0.01650461641328893,53,74
densenet121-res224-mimic_ch,False,Edema,0.8044802902723275,0.6781139835487662,0.1263663067235613,17,37
densenet121-res224-mimic_ch,False,Effusion,0.8103876614205004,0.7683724529454222,0.042015208475078225,168,224
densenet121-res224-mimic_ch,False,Pneumonia,0.6238750619415272,0.6494820777932508,-0.025607015851723647,21,38
densenet121-res224-mimic_ch,False,Pneumothorax,0.7056453423120089,0.7074145449604071,-0.0017692026483981937,30,121
